node_id,neighbors_with_weights
333,"[(332, 364.3705641909184), (334, 360.72349163201454)]"
334,"[(333, 360.72349163201454), (335, 360.2309180607167)]"
335,"[(60, 362.90560906061995), (334, 360.2309180607167)]"
336,"[(60, 263.3630914928836), (337, 262.07116848084564)]"
337,"[(336, 262.07116848084564), (338, 263.0775891156621)]"
338,"[(337, 263.0775891156621), (339, 266.35625066925087)]"
339,"[(338, 266.35625066925087), (340, 271.8248948904388)]"
340,"[(65, 279.35489054851195), (339, 271.8248948904388)]"
341,"[(65, 225.89722943327823), (342, 222.37035287657224)]"
342,"[(341, 222.37035287657224), (343, 220.764709979385)]"
343,"[(342, 220.764709979385), (344, 221.12216168676207)]"
344,"[(343, 221.12216168676207), (345, 223.4332911869989)]"
345,"[(37, 227.63860603845578), (344, 223.4332911869989)]"
346,"[(37, 321.727481516474), (347, 314.37046240256586)]"
347,"[(346, 314.37046240256586), (348, 309.5635412253269)]"
348,"[(347, 309.5635412253269), (349, 307.42640079121827)]"
349,"[(348, 307.42640079121827), (350, 308.01465811055306)]"
350,"[(67, 311.31290334884386), (349, 308.01465811055306)]"
351,"[(67, 473.0197133521656), (352, 485.203890745105)]"
352,"[(351, 485.203890745105), (353, 499.54317687546506)]"
353,"[(352, 499.54317687546506), (354, 515.8581322485131)]"
354,"[(353, 515.8581322485131), (355, 533.9679090702514)]"
355,"[(73, 553.6966140475922), (354, 533.9679090702514)]"
356,"[(73, 310.5568389092285), (357, 299.1276789364757)]"
357,"[(356, 299.1276789364757), (358, 288.88074249963546)]"
358,"[(357, 288.88074249963546), (359, 279.94597170524145)]"
359,"[(358, 279.94597170524145), (360, 272.45259089134396)]"
360,"[(121, 266.5223127943375), (359, 272.45259089134396)]"
361,"[(121, 293.08297481117785), (362, 299.34053931250816)]"
362,"[(361, 299.34053931250816), (363, 307.379253866331)]"
363,"[(362, 307.379253866331), (364, 317.06379605853164)]"
