node_id,x,y,added
414,563957.19751392,1489126.8284292445,2
415,563882.9973011999,1489109.4117807779,2
416,563750.7218988,1489047.1511281112,2
417,563691.7358476801,1489015.0656556448,2
418,563632.04349864,1488988.6738126,2
419,563571.64485168,1488967.9755989779,2
420,563510.5399068,1488952.971014778,2
421,563410.1598335999,1488908.0766554447,2
422,563372.9092569601,1488869.148578711,2
423,563336.97693408,1488826.8758297998,2
424,563302.36286496,1488781.258408711,2
425,563269.0670496001,1488732.2963154444,2
426,563152.2229824001,1488655.371287111,2
427,563067.22383744,1488638.8316720445,2
428,562982.09205312,1488630.3707048,2
429,562896.8276294401,1488629.9883853777,2
430,562811.4305664,1488637.6847137776,2
431,562686.8149536002,1488596.8558345556,2
432,562649.6704617601,1488537.0060006224,2
433,562614.4673884801,1488473.9101882002,2
434,562581.2057337599,1488407.5683972891,2
435,562549.8854976,1488337.980627889,2
436,562495.3956072001,1488199.64962,2
437,562468.5295315201,1488136.9494720004,2
438,562439.9084529601,1488077.046436,2
439,562409.5323715201,1488019.9405120001,2
440,562377.4012872,1487965.6316999998,2
441,562303.08288,1487836.778311111,2
442,562265.2126079999,1487756.210097778,2
443,562229.9043839999,1487672.41536,2
444,562197.1582079999,1487585.3940977778,2
445,562166.97408,1487495.146311111,2
446,562655.1054396,1491349.5636815557,2
447,562639.76787936,1491293.7079171557,2
448,562626.16023528,1491236.6438668,2
449,562614.28250736,1491178.3715304888,2
450,562604.1346955999,1491118.8909082224,2
451,562598.60244,1491009.5372333336,2
452,562600.0335840001,1490960.9436400002,2
453,562600.010232,1490912.42122,2
454,562598.532384,1490863.9699733334,2
455,562595.60004,1490815.5899000003,2
456,562612.69704,1490693.8241888892,2
457,562636.195824,1490622.882168889,2
458,562661.7095519999,1490554.45494,2
459,562689.238224,1490488.5425022223,2
460,562718.7818400001,1490425.1448555556,2
461,562785.55188,1490278.4388222224,2
462,562817.9878080001,1490189.9347822221,2
463,562847.6481839999,1490098.74988,2
464,562874.533008,1490004.8841155556,2
465,562898.6422799999,1489908.337488889,2
466,562958.6235599999,1489737.0173444448,2
467,562999.1259359999,1489669.0290177779,2
468,563041.4831279999,1489605.1450200002,2
469,563085.6951359999,1489545.3653511112,2
470,563131.7619600001,1489489.690011111,2
471,563225.32008,1489427.2057555555,2
472,563270.316048,1489412.1170088889,2
473,563314.6715040001,1489392.85276,2
474,563358.386448,1489369.4130088887,2
475,563401.46088,1489341.7977555557,2
476,563503.15884,1489247.9675777778,2
477,563563.837344,1489191.8829911111,2
478,563625.930312,1489141.75324,2
479,563689.437744,1489097.5783244444,2
480,563754.35964,1489059.3582444445,2
481,563888.8338000001,1488984.3890000002,2
482,563955.2368800002,1488935.6352666668,2
483,564019.90524,1488880.8318,2
484,564082.83888,1488819.9786000003,2
485,564144.0378,1488753.0756666667,2
486,564232.0748400001,1488643.4687333335,2
487,564261.5283840001,1488609.7325733332,2
488,564291.862632,1488578.91452,2
489,564323.077584,1488551.0145733333,2
490,564355.17324,1488526.0327333333,2
491,564416.7224399999,1488486.294288889,2
492,564444.574704,1488466.0810622221,2
493,564471.706392,1488443.3293199998,2
494,564498.1175040001,1488418.039062222,2
495,564523.8080399999,1488390.2102888888,2
496,564577.75116,1488321.7356111114,2
497,564607.6450560001,1488286.5937777779,2
498,564638.459688,1488254.4175,2
499,564670.1950559999,1488225.2067777778,2
500,564702.8511600001,1488198.9616111114,2
501,564768.1366800001,1488109.4018333338,2
502,564797.670288,1488040.6306,2
503,564825.028824,1487969.3683,2
504,564850.2122879999,1487895.6149333336,2
